nome,continente,pais,estagio,data_limite
Edital A Inovação,América do Sul,Nigéria,Validação,2025-05-25
Edital B Inovação,Oceania,Argentina,Validação,2025-05-29
Edital C Inovação,Europa,França,Validação,2025-07-09
Edital D Inovação,América do Norte,Canadá,Pré-semente,2025-06-19
Edital E Inovação,América do Norte,Brasil,Série B,2025-06-16
Edital F Inovação,África,Brasil,Ideação,2025-07-05
Edital G Inovação,Europa,Nigéria,Série B,2025-07-18
Edital H Inovação,África,Nigéria,Empresa estabelecida,2025-06-11
Edital I Inovação,Europa,Japão,Validação,2025-06-23
Edital J Inovação,Ásia,Austrália,Pré-semente,2025-07-13
